Date	SLLT	STTB	TSLD	TSLX	TSLN
1/01/1991	0	0	19.28106809	11.17091542	28.23108991
1/01/1991	0	5	15.52357502	21.43470477	7.71262283
1/01/1991	5	15	9.202860054	12.14238637	6.965270918
1/01/1991	15	30	8.078863985	8.565589137	7.890737673
1/01/1991	30	45	8.836741876	8.875551253	8.826209649
1/01/1991	45	60	9.766769689	9.786647075	9.744877237
1/01/1991	60	90	11.48410946	11.509619	11.4606962
1/01/1991	90	120	13.16099438	13.16643198	13.15505823
1/01/1991	120	150	14.68561546	14.69137317	14.67993302
1/01/1991	150	180	16.07099317	16.0737128	16.06824233
1/01/1991	180	210	22.66744706	22.67747449	22.65743164
2/01/1991	0	0	0	20.40610325	15.01025738
2/01/1991	0	5	18.47135624	22.33626194	14.92985994
2/01/1991	5	15	13.26517596	14.77690012	12.18986493
2/01/1991	15	30	9.289985669	10.02906397	8.596762393
2/01/1991	30	45	9.014943965	9.190206336	8.879328596
2/01/1991	45	60	9.812791055	9.844662611	9.787500675
2/01/1991	60	90	11.4404731	11.45978824	11.42312094
2/01/1991	90	120	13.14804234	13.15478586	13.14103007
2/01/1991	120	150	14.67412496	14.67969412	14.6685903
2/01/1991	150	180	16.06530888	16.06812388	16.06246476
2/01/1991	180	210	22.64701617	22.657006	22.63703817
3/01/1991	0	0	19.74313154	14.51497322	26.05501486
3/01/1991	0	5	18.58173301	21.94481031	15.34647229
3/01/1991	5	15	14.96443143	15.78159537	14.41295824
3/01/1991	15	30	10.69149459	11.29690074	10.0618464
3/01/1991	30	45	9.439796221	9.694993354	9.199462494
3/01/1991	45	60	9.897559534	9.958759173	9.846387331
3/01/1991	60	90	11.40982129	11.42247583	11.3996771
3/01/1991	90	120	13.13336171	13.14072185	13.12594635
3/01/1991	120	150	14.66287217	14.66835611	14.65740386
3/01/1991	150	180	16.05943772	16.06234242	16.05650524
3/01/1991	180	210	22.62666134	22.63661411	22.61672023
4/01/1991	0	0	19.42107597	13.8816524	26.49474254
4/01/1991	0	5	18.52373145	22.28137859	15.05701498
4/01/1991	5	15	15.65985491	16.32461807	15.09117488
4/01/1991	15	30	11.78100716	12.23212817	11.32231869
4/01/1991	30	45	9.978259081	10.24800954	9.706514651
4/01/1991	45	60	10.04364465	10.13400632	9.961817207
4/01/1991	60	90	11.3951799	11.39936598	11.39358973
4/01/1991	90	120	13.11833483	13.12563078	13.11120816
4/01/1991	120	150	14.65173466	14.65717186	14.64631312
4/01/1991	150	180	16.05338871	16.05637921	16.05037157
4/01/1991	180	210	22.60638151	22.61629774	22.59647677
5/01/1991	0	0	20.35281928	13.90038037	28.20476759
5/01/1991	0	5	19.20985985	23.59682361	15.14185371
5/01/1991	5	15	16.21496267	17.08962383	15.53526226
5/01/1991	15	30	12.59582931	12.97667837	12.25156185
5/01/1991	30	45	10.52288933	10.77961559	10.25954687
5/01/1991	45	60	10.24394997	10.35535079	10.13820908
5/01/1991	60	90	11.39972959	11.40857628	11.39412323
5/01/1991	90	120	13.10438509	13.11091509	13.09824306
5/01/1991	120	150	14.64071111	14.64608331	14.63537107
5/01/1991	150	180	16.04716929	16.05024198	16.04407124
5/01/1991	180	210	22.58617562	22.59605582	22.57630677
6/01/1991	0	0	21.33917435	14.91052544	30.0492962
6/01/1991	0	5	20.19176675	24.96938873	15.99368498
6/01/1991	5	15	17.0557303	17.95746282	16.32869739
6/01/1991	15	30	13.32292367	13.69831749	12.99497396
6/01/1991	30	45	11.04212691	11.28955161	10.79056113
6/01/1991	45	60	10.48178031	10.60696915	10.3603233
6/01/1991	60	90	11.42481463	11.4437039	11.40909956
6/01/1991	90	120	13.09289547	13.09800155	13.08836804
6/01/1991	120	150	14.62990455	14.63514564	14.62472484
6/01/1991	150	180	16.04078789	16.04393827	16.03761392
6/01/1991	180	210	22.56604269	22.57588734	22.55620923
7/01/1991	0	0	21.50173174	16.46260106	29.34887299
7/01/1991	0	5	20.56672031	24.79857148	17.16583449
7/01/1991	5	15	17.8147004	18.46265777	17.21177597
7/01/1991	15	30	14.03270814	14.37395207	13.71623662
7/01/1991	30	45	11.54659119	11.78896645	11.30021658
7/01/1991	45	60	10.74470504	10.87964193	10.6124546
7/01/1991	60	90	11.47011817	11.49857782	11.44464968
7/01/1991	90	120	13.08507869	13.08820346	13.08268605
7/01/1991	120	150	14.61949911	14.62450768	14.61458963
7/01/1991	150	180	16.03425602	16.03747781	16.03101315
7/01/1991	180	210	22.54598173	22.5557913	22.53618321
8/01/1991	0	0	20.93862697	16.19547053	26.64125665
8/01/1991	0	5	20.22182894	23.381829	17.27950748
8/01/1991	5	15	18.0743594	18.52738093	17.60759729
8/01/1991	15	30	14.63175047	14.88120612	14.38901978
8/01/1991	30	45	12.03424395	12.26044845	11.79931684
8/01/1991	45	60	11.02518719	11.16627233	10.88549688
8/01/1991	60	90	11.5345038	11.57182532	11.49992191
8/01/1991	90	120	13.08191554	13.08261881	13.0816571
8/01/1991	120	150	14.60973328	14.61438574	14.60522212
8/01/1991	150	180	16.02758975	16.03087423	16.02428753
8/01/1991	180	210	22.52599182	22.53576676	22.5162278
9/01/1991	0	0	17.6596236	13.80043379	22.63851353
9/01/1991	0	5	17.99503336	20.38493525	15.61946817
9/01/1991	5	15	17.63297342	18.45747623	17.27632351
9/01/1991	15	30	15.01398136	15.08833482	14.89270029
9/01/1991	30	45	12.47775198	12.66882162	12.26987754
9/01/1991	45	60	11.31478237	11.45671015	11.17232277
9/01/1991	60	90	11.61633651	11.66151765	11.57353413
9/01/1991	90	120	13.08414859	13.08711785	13.08210638
9/01/1991	120	150	14.60087489	14.60503712	14.5968974
9/01/1991	150	180	16.02081051	16.02414625	16.01746127
9/01/1991	180	210	22.5060721	22.51581281	22.49634218
10/01/1991	0	0	17.77676478	11.05990014	26.62857261
10/01/1991	0	5	17.49905243	21.88854204	13.48012006
10/01/1991	5	15	16.74184681	17.33207736	16.13232171
10/01/1991	15	30	15.04021978	15.09493121	14.99458319
10/01/1991	30	45	12.82857799	12.96209	12.67626598
10/01/1991	45	60	11.60046007	11.73473594	11.46269392
10/01/1991	60	90	11.71325142	11.76478372	11.66354292
10/01/1991	90	120	13.09227529	13.09822606	13.08728669
10/01/1991	120	150	14.59319972	14.59673707	14.58988869
